language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
Hangzhou		and	1577	1577	tɑʔ⁵	281	t ɑ ʔ ⁵	
Hangzhou		and	1577	1577	doŋ²¹³	268	d o ŋ ²¹³	
Guangzhou		and	1577	1577	tʰoŋ²¹	268	tʰ o ŋ ²¹	
Guangzhou		and	1577	1577	tʰoŋ²¹maj²¹	269	tʰ o ŋ ²¹ m a j ²¹	
Guangzhou		and	1577	1577	pɔŋ⁵⁵	282	p ɔ ŋ ⁵⁵	
Guangzhou		and	1577	1577	pɔŋ⁵³maj²¹	283	p ɔ ŋ ⁵³ m a j ²¹	
Nanchang		and	1577	1577	kjɛn⁴²	270	k j ɛ n ⁴²	
Nanchang		and	1577	1577	kjɛn⁴²tɑw⁰²	271	k j ɛ n ⁴² t ɑ w ⁰²	
Chengdu		and	1577	1577	xo³¹	272	x o ³¹	
Chengdu		and	1577	1577	kən⁵⁵	270	k ə n ⁵⁵	
Chengdu		and	1577	1577	tʰoŋ³¹	268	tʰ o ŋ ³¹	
Taoyuan		and	1577	1577	xwɤ¹¹	272	x w ɤ ¹¹	
Taoyuan		and	1577	1577	kəŋ¹¹	270	k ə ŋ ¹¹	
Shexian		and	1577	1577	taʔ²¹	281	t a ʔ ²¹	
Beijing		and	1577	1577	xɤ³⁵	272	x ɤ ³⁵	
Beijing		and	1577	1577	kən⁵⁵	270	k ə n ⁵⁵	
Kunming		and	1577	1577	æ⁴⁴	284	æ ⁴⁴	
Kunming		and	1577	1577	tᴀ³¹	281	t a ³¹	
Shanghai		and	1577	1577	taʔ⁵	281	t a ʔ ⁵	
Shanghai		and	1577	1577	kɔ³⁵	285	k ɔ ³⁵	
Meixian		become sick	1847	1847	pot¹pʰjaŋ⁵³	938	p o t ¹ pʰ j a ŋ ⁵³	
Changsha		become sick	1847	1847	pin¹¹ta	939	p i n ¹¹ t a	
Guiyang		become sick	1847	1847	sen⁵⁵pin²¹³əw²¹³	946	s e n ⁵⁵ p i n ²¹³ ə w ²¹³	
Guiyang		become sick	1847	1847	pu²¹su⁵⁵fu²¹	948	p u ²¹ s u ⁵⁵ f u ²¹	
Xiamen		become sick	1847	1847	pʰwa²¹pĩ²²	957	pʰ w a ²¹ p ĩ ∼ ²²	
Xiamen		become sick	1847	1847	kan⁵⁵kʰɔ⁵³	958	k a n ⁵⁵ kʰ ɔ ⁵³	
Hefei		become sick	1847	1847	pəʔ⁵xɔ²⁴kʊ⁵³	953	p ə ʔ ⁵ x ɔ ²⁴ k ʊ ⁵³	
Hefei		become sick	1847	1847	pəʔ⁵t͡ʂʰən²¹tʰæ̃	954	p ə ʔ ⁵ ʈʂʰ ə n ²¹ tʰ æ̃ ∼	
Jinan		become sick	1847	1847	t͡ʂaŋ⁵⁵piŋ²¹	959	ʈʂ a ŋ ⁵⁵ p i ŋ ²¹	
Jinan		become sick	1847	1847	piŋ⁴²lja	941	p i ŋ ⁴² l j a	
Jinan		become sick	1847	1847	pu²¹³ytʰjə	955	p u ²¹³ y ⁰ tʰ j ə	
Jinan		become sick	1847	1847	pu²¹³ʂu²¹³tʰã	950	p u ²¹³ ʂ u ²¹³ tʰ ã ∼	
Jinan		become sick	1847	1847	pu²¹³xɔ	951	p u ²¹³ x ɔ	
Hangzhou		become sick	1847	1847	sen³³bin¹³tə	947	s e n ³³ b i n ¹³ t ə	
Guangzhou		become sick	1847	1847	pɛŋ²²ʦɔ³⁵	942	p ɛ ŋ ²² ts ɔ ³⁵	
Guangzhou		become sick	1847	1847	m̩²¹ʦi²²jin²¹	960	m̩ ²¹ ts i ²² j i n ²¹	
Nanchang		become sick	1847	1847	pʰjɑŋ²¹ljɛwiɛu⁰²	940	pʰ j ɑ ŋ ²¹ l j ɛ w ⁰²	
Chengdu		become sick	1847	1847	pin¹³no⁵³	940	p i n ¹³ n o ⁵³	
Chengdu		become sick	1847	1847	pu³¹su⁵⁵fu³¹no⁵³	949	p u ³¹ s u ⁵⁵ f u ³¹ n o ⁵³	
Chengdu		become sick	1847	1847	pu³¹ŋan⁵⁵i¹³no⁵³	956	p u ³¹ ŋ a n ⁵⁵ i ¹³ n o ⁵³	
Taoyuan		become sick	1847	1847	pi⁴⁵lje⁵³	943	p i ⁴⁵ l j e ⁵³	
Shexian		become sick	1847	1847	xɛ²²pʰjʌ̃	962	x ɛ ²² pʰ j ʌ̃ ∼	
Shexian		become sick	1847	1847	pu²¹xɔ³⁵ko	953	p u ²¹ x ɔ ³⁵ k o	
Beijing		become sick	1847	1847	piŋ⁵¹lə¹	940	p i ŋ ⁵¹ l ə ¹	
Kunming		become sick	1847	1847	pĩ²¹²lə⁵³	940	p ĩ ∼ ²¹² l ə ⁵³	
Kunming		become sick	1847	1847	pu³¹xɔ⁵³lə⁵³	952	p u ³¹ x ɔ ⁵³ l ə ⁵³	
Shanghai		become sick	1847	1847	sã⁵³biŋ¹³	945	s ã ∼ ⁵³ b i ŋ ¹³	
Meixian		bedbug	1949	1949	kon⁴⁴pʰi⁴⁴	420	k o n ⁴⁴ pʰ i ⁴⁴	
Changsha		bedbug	1949	1949	t͡ʂʰəw⁵⁵t͡ʂoŋ¹³	421	ʈʂʰ ə w ⁵⁵ ʈʂ o ŋ ¹³	
Changsha		bedbug	1949	1949	ɕjan³³ku³³ȵjan¹³	422	ɕ j a n ³³ k u ³³ nʲ j a n ¹³	
Guiyang		bedbug	1949	1949	ʦʰəw²¹³ʦʰoŋ²¹	421	tsʰ ə w ²¹³ tsʰ o ŋ ²¹	
Xiamen		bedbug	1949	1949	bat⁵sat³²	423	b a t ⁵ s a t ³²	
Hefei		bedbug	1949	1949	t͡ʂʰɯ⁵³t͡ʂʰəŋ	421	ʈʂʰ ɯ ⁵³ ʈʂʰ ə ŋ	
Jinan		bedbug	1949	1949	t͡ʂʰow²¹t͡ʂʰuŋ⁴²	421	ʈʂʰ o w ²¹ ʈʂʰ u ŋ ⁴²	
Hangzhou		bedbug	1949	1949	ʦʰej⁴⁴⁵ʣoŋ²¹³	421	tsʰ e j ⁴⁴⁵ dz o ŋ ²¹³	
Guangzhou		bedbug	1949	1949	mok²sɐt⁵	423	m o k ² s ɐ t ⁵	
Nanchang		bedbug	1949	1949	ʦʰɨw²¹³ʦʰuŋ⁰⁴	421	tsʰ ɨ w ²¹³ tsʰ u ŋ ⁰⁴	
Chengdu		bedbug	1949	1949	ʦʰəw¹³ʦʰoŋ³¹	421	tsʰ ə w ¹³ tsʰ o ŋ ³¹	
Taoyuan		bedbug	1949	1949	pjəʔ²səʔ²	424	p j ə ʔ ² s ə ʔ ²	
Shexian		bedbug	1949	1949	mɔ²²seʔ²¹	423	m ɔ ²² s e ʔ ²¹	
Shexian		bedbug	1949	1949	pi²¹seʔ²¹	424	p i ²¹ s e ʔ ²¹	
Beijing		bedbug	1949	1949	t͡ʂʰow⁵¹t͡ʂʰuŋ¹	421	ʈʂʰ o w ⁵¹ ʈʂʰ u ŋ ¹	
Kunming		bedbug	1949	1949	pi³¹sə³¹	424	p i ³¹ s ə ³¹	
Shanghai		bedbug	1949	1949	ʦʰɤ³⁵zoŋ²³	421	tsʰ ɤ ³⁵ z o ŋ ²³	
Shanghai		bedbug	1949	1949	pjɪʔ⁵səʔ⁵	425	p j ɪ ʔ ⁵ s ə ʔ ⁵	
Meixian		beggar	1934	1934	kaw⁵³fa⁵³ve	910	k a w ⁵³ f a ⁵³ v e	
Changsha		beggar	1934	1934	kaw⁵⁵fa⁵⁵ʦɿ	911	k a w ⁵⁵ f a ⁵⁵ ts ɿ	
Guiyang		beggar	1934	1934	ʨjao²¹³xwa²¹³ʦɿ⁴²	912	tɕ j a o ²¹³ x w a ²¹³ ts ɿ ⁴²	
Guiyang		beggar	1934	1934	jao²¹³fan²¹³lɛ⁵⁵	914	j a o ²¹³ f a n ²¹³ l ɛ ⁵⁵	
Xiamen		beggar	1934	1934	kʰit³²ʦjaʔ⁵	919	kʰ i t ³² ts j a ʔ ⁵	
Hefei		beggar	1934	1934	ʨjɔ⁵³xwa²¹ʦə	913	tɕ j ɔ ⁵³ x w a ²¹ ts ə	
Jinan		beggar	1934	1934	jɔ²¹fã²¹ti	914	j ɔ ²¹ f ã ∼ ²¹ t i	
Jinan		beggar	1934	1934	ʨjɔ²¹xwaʦɿ	913	tɕ j ɔ ²¹ x w a ⁰ ts ɿ	
Hangzhou		beggar	1934	1934	ʨjɔ⁴⁴⁵hwɑ⁴⁴⁵ʦɿ⁵³	912	tɕ j ɔ ⁴⁴⁵ h w ɑ ⁴⁴⁵ ts ɿ ⁵³	
Guangzhou		beggar	1934	1934	hɐt⁵ji²¹	918	h ɐ t ⁵ j i ²¹	
Nanchang		beggar	1934	1934	kɑw⁴⁵fɑ⁰⁴ʦɿ⁰⁴	921	k ɑ w ⁴⁵ f ɑ ⁰⁴ ts ɿ ⁰⁴	
Chengdu		beggar	1934	1934	ʨjaw¹³xwa⁵⁵ʦɿ⁵³	913	tɕ j a u ¹³ x w a ⁵⁵ ts ɿ ⁵³	
Chengdu		beggar	1934	1934	jaw¹³fan¹³ni⁵⁵	914	j a u ¹³ f a n ¹³ n i ⁵⁵	
Chengdu		beggar	1934	1934	tʰaw⁵³kʰəw⁵³ʦɿ⁵³	923	tʰ a w ⁵³ kʰ ə w ⁵³ ts ɿ ⁵³	
Taoyuan		beggar	1934	1934	tʰaw⁵³ʦʰəʔ²ʦʰəʔ²	924	tʰ a w ⁵³ tsʰ ə ʔ ² tsʰ ə ʔ ²	
Taoyuan		beggar	1934	1934	jaw⁴⁵fæ̃⁴⁵təʔ	914	j a w ⁴⁵ f æ̃ ∼ ⁴⁵ t ə ʔ	
Taoyuan		beggar	1934	1934	ʨjaw⁴⁵xwa¹¹ʦəʔ	913	tɕ j a w ⁴⁵ x w a ¹¹ ts ə ʔ	
Shexian		beggar	1934	1934	tʰɔ³⁵fɛ²²ɛ	922	tʰ ɔ ³⁵ f ɛ ²² ɛ	
Beijing		beggar	1934	1934	jɑwiɑu⁵¹fan⁵¹tə¹	914	j ɑ u ⁵¹ f a n ⁵¹ t ə ¹	
Beijing		beggar	1934	1934	ʨjɑwiɑu⁵¹xwa⁵⁵ʦɿ²	913	tɕ j ɑ u ⁵¹ x w a ⁵⁵ ts ɿ ²	
Kunming		beggar	1934	1934	xwᴀ⁴⁴ʦɿ⁵³	920	x w a ⁴⁴ ts ɿ ⁵³	
Kunming		beggar	1934	1934	jɔ²¹²fᴀ̃²¹²nə⁴⁴	915	j ɔ ²¹² f ã ∼ ²¹² n ə ⁴⁴	
Shanghai		beggar	1934	1934	kɔ³⁵ho³⁵ʦɿ³⁵	912	k ɔ ³⁵ h o ³⁵ ts ɿ ³⁵	
Meixian		blow	175	175	hi³¹fuŋ⁴⁴	944	h i ³¹ f u ŋ ⁴⁴	
Changsha		blow	175	175	ʨʰi⁴¹xoŋ³³	944	tɕʰ i ⁴¹ x o ŋ ³³	
Changsha		blow	175	175	fa²⁴xoŋ³³	961	f a ²⁴ x o ŋ ³³	
Guiyang		blow	175	175	ʦʰwej⁵⁵foŋ⁵⁵	966	tsʰ w e j ⁵⁵ f o ŋ ⁵⁵	
Xiamen		blow	175	175	kʰi⁵³hɔŋ⁵⁵	944	kʰ i ⁵³ h ɔ ŋ ⁵⁵	
Hefei		blow	175	175	ʦʰɿ²⁴fəŋ²¹	944	tsʰ ɿ ²⁴ f ə ŋ ²¹	
Jinan		blow	175	175	kwa²¹³fəŋ²¹³	976	k w a ²¹³ f ə ŋ ²¹³	
Hangzhou		blow	175	175	ʨʰi⁵³foŋ³³	944	tɕʰ i ⁵³ f o ŋ ³³	
Hangzhou		blow	175	175	kwɑʔ⁵foŋ³³	976	k w ɑ ʔ ⁵ f o ŋ ³³	
Guangzhou		blow	175	175	fan⁵³foŋ⁵³	1000	f a n ⁵³ f o ŋ ⁵³	
Guangzhou		blow	175	175	ta³⁵foŋ⁵³	1012	t a ³⁵ f o ŋ ⁵³	
Nanchang		blow	175	175	ʨʰi²¹³fuŋ⁴²	944	tɕʰ i ²¹³ f u ŋ ⁴²	
Chengdu		blow	175	175	kwa³¹foŋ⁵⁵	976	k w a ³¹ f o ŋ ⁵⁵	
Chengdu		blow	175	175	ʨʰi⁵³foŋ⁵⁵	944	tɕʰ i ⁵³ f o ŋ ⁵⁵	
Chengdu		blow	175	175	ʦʰwej⁵⁵foŋ⁵⁵	966	tsʰ w e j ⁵⁵ f o ŋ ⁵⁵	
Taoyuan		blow	175	175	kwaʔ²fəŋ¹¹	976	k w a ʔ ² f ə ŋ ¹¹	
Shexian		blow	175	175	ʨʰi³⁵fʌ̃³¹	944	tɕʰ i ³⁵ f ʌ̃ ∼ ³¹	
Shexian		blow	175	175	fa²¹fʌ̃³¹	961	f a ²¹ f ʌ̃ ∼ ³¹	
Beijing		blow	175	175	kwa⁵⁵fəŋ⁵⁵	976	k w a ⁵⁵ f ə ŋ ⁵⁵	
Kunming		blow	175	175	kwᴀ³¹foŋ⁴⁴	976	k w a ³¹ f o ŋ ⁴⁴	
Kunming		blow	175	175	ʨʰi⁵³foŋ⁴⁴	944	tɕʰ i ⁵³ f o ŋ ⁴⁴	
Shanghai		blow	175	175	ʨʰi³⁵foŋ⁵³	944	tɕʰ i ³⁵ f o ŋ ⁵³	
Shanghai		blow	175	175	kwaʔ⁵foŋ⁵³	976	k w a ʔ ⁵ f o ŋ ⁵³	
Meixian		boy	1366	1366	se⁵³a⁴⁴ko⁴⁴e	824	s e ⁵³ a ⁴⁴ k o ⁴⁴ e	
Changsha		boy	1366	1366	ŋa¹³ʦɿ	826	ŋ a ¹³ ts ɿ	
Guiyang		boy	1366	1366	lan²¹wa²¹wa⁵⁵	829	l a n ²¹ w a ²¹ w a ⁵⁵	
Guiyang		boy	1366	1366	ɕjao⁴²lan²¹sen⁵⁵	837	ɕ j a o ⁴² l a n ²¹ s e n ⁵⁵	
Xiamen		boy	1366	1366	ta²²pɔ⁵⁵kin⁵³na⁵³	843	t a ²² p ɔ ⁵⁵ k i n ⁵³ n a ⁵³	
Hefei		boy	1366	1366	ɕjɔ²⁴sɿ	839	ɕ j ɔ ²⁴ s ɿ	
Jinan		boy	1366	1366	ɕjɔ⁵⁵ʦɿ	835	ɕ j ɔ ⁵⁵ ts ɿ	
Jinan		boy	1366	1366	ɕjɔ⁵⁵ɕjɔr⁵⁵	838	ɕ j ɔ ⁵⁵ ɕ j ɔ r ⁵⁵	
Hangzhou		boy	1366	1366	nᴇ̃²¹³ɦjɑ²¹³əl²¹³	827	n ɛ̃ ∼ ²¹³ ɦ j ɑ ²¹³ ə l ²¹³	
Guangzhou		boy	1366	1366	nam²¹ʦɐj³⁵	831	n a m ²¹ ts ɐ j ³⁵	
Nanchang		boy	1366	1366	lan⁴⁵ʦaj⁰⁴ʦɿ⁰⁴	832	l a n ⁴⁵ ts a j ⁰⁴ ts ɿ ⁰⁴	
Nanchang		boy	1366	1366	ʦaj²¹³liʔ⁰⁴ʦɿ⁰⁴	844	ts a j ²¹³ l i ʔ ⁰⁴ ts ɿ ⁰⁴	
Chengdu		boy	1366	1366	nan³¹wa³¹ʦɿ⁵³	828	n a n ³¹ w a ³¹ ts ɿ ⁵³	
Taoyuan		boy	1366	1366	næ̃¹¹va¹¹va¹¹	829	n æ̃ ∼ ¹¹ v a ¹¹ v a ¹¹	
Taoyuan		boy	1366	1366	ɕjaw⁵³ʦəʔʨja¹¹	836	ɕ j a w ⁵³ ts ə ʔ ⁰ tɕ j a ¹¹	
Taoyuan		boy	1366	1366	ɕjaw⁵³xəw⁴⁵səŋ¹¹	841	ɕ j a w ⁵³ x ə w ⁴⁵ s ə ŋ ¹¹	
Shexian		boy	1366	1366	sjɔ³⁵ka	840	s j ɔ ³⁵ k a	
Shexian		boy	1366	1366	sjɔ	834	s j ɔ	
Shexian		boy	1366	1366	sjɔ³⁵kwe³⁵ti³²⁴	842	s j ɔ ³⁵ k w e ³⁵ t i ³²⁴	
Beijing		boy	1366	1366	nan³⁵xar	833	n a n ³⁵ x a r	
Beijing		boy	1366	1366	ɕjɑwiɑu²¹⁴ʦɿ⁴	835	ɕ j ɑ w ²¹⁴ ts ɿ ⁴	
Kunming		boy	1366	1366	nᴀ̃³¹wᴀ³¹wᴀ³¹	829	n ã ∼ ³¹ w a ³¹ w a ³¹	
Kunming		boy	1366	1366	xo⁵³ʦɿ⁴⁴	845	x o ⁵³ ts ɿ ⁴⁴	
Kunming		boy	1366	1366	ə³¹ʦɿ⁵³	825	ə ³¹ ts ɿ ⁵³	
Shanghai		boy	1366	1366	nø¹³ɕjɔ³⁵nø¹³	830	n ø ¹³ ɕ j ɔ ³⁵ n ø ¹³	
Meixian		breakfast	1322	1322	sət⁵ʦaw⁴⁴	725	s ə t ⁵ ts a w ⁴⁴	
Changsha		breakfast	1322	1322	ʦaw⁴¹fan¹¹	727	ts a w ⁴¹ f a n ¹¹	
Guiyang		breakfast	1322	1322	ko²¹³ʦa⁴²	733	k o ²¹³ ts a ⁴²	
Guiyang		breakfast	1322	1322	ʦa⁴²ʦʰan⁵⁵	728	ts a ⁴² tsʰ a n ⁵⁵	
Guiyang		breakfast	1322	1322	ʦa⁴²fan²¹³	727	ts a ⁴² f a n ²¹³	
Xiamen		breakfast	1322	1322	ʦa⁵³kʰi⁵³tŋ̍	729	ts a ⁵³ kʰ i ⁵³ t ŋ̍	
Xiamen		breakfast	1322	1322	ʦa⁵³ʦʰan⁵⁵	728	ts a ⁵³ tsʰ a n ⁵⁵	
Hefei		breakfast	1322	1322	ʦɔ²⁴fæ̃⁵³	727	ts ɔ ²⁴ f æ̃ ∼ ⁵³	
Jinan		breakfast	1322	1322	ʦɔ⁵⁵fã²¹	727	ts ɔ ⁵⁵ f ã ∼ ²¹	
Jinan		breakfast	1322	1322	ʦɔ⁵⁵tjã⁵⁵	730	ts ɔ ⁵⁵ t j ã ∼ ⁵⁵	
Hangzhou		breakfast	1322	1322	ʦɔ⁵³vᴇ̃¹³	727	ts ɔ ⁵³ v ɛ̃ ∼ ¹³	
Guangzhou		breakfast	1322	1322	ʦow³⁵ʦʰan⁵⁵	728	ts o w ³⁵ tsʰ a n ⁵⁵	
Nanchang		breakfast	1322	1322	ʦɑw²¹³fan²¹	727	ts ɑ w ²¹³ f a n ²¹	
Chengdu		breakfast	1322	1322	ʦaw⁵³fan¹³	727	ts a w ⁵³ f a n ¹³	
Taoyuan		breakfast	1322	1322	ʦaw⁵³ʨʰjəŋ¹¹fæ̃⁴⁵	731	ts a w ⁵³ tɕʰ j ə ŋ ¹¹ f æ̃ ∼ ⁴⁵	
Shexian		breakfast	1322	1322	ʦɔ³⁵fɛ	727	ts ɔ ³⁵ f ɛ	
Shexian		breakfast	1322	1322	ʨʰi²¹ʦuʔ²¹	734	tɕʰ i ²¹ ts u ʔ ²¹	
Beijing		breakfast	1322	1322	ʦɑw²¹⁴ʂɑŋ⁴fan	732	ts ɑ w ²¹⁴ ʂ ɑ ŋ ⁴ f a n	
Beijing		breakfast	1322	1322	ʦɑw²¹⁴tjan²¹⁴	730	ts ɑ w ²¹⁴ t j a n ²¹⁴	
Kunming		breakfast	1322	1322	ʦɔ⁵³tjɛ̃⁵³	730	ts ɔ ⁵³ t j ɛ̃ ∼ ⁵³	
Shanghai		breakfast	1322	1322	ʦɔ³⁵ve¹³	727	ts ɔ ³⁵ v e ¹³	
Meixian		cabbage	774	774	paw⁴⁴ʦʰoj⁵³	274	p a w ⁴⁴ tsʰ o j ⁵³	
Changsha		cabbage	774	774	paw³³ʦʰaj⁵⁵	274	p a w ³³ tsʰ a j ⁵⁵	
Guiyang		cabbage	774	774	ko⁴²ɕin⁵⁵pɛ²¹	296	k o ⁴² ɕ i n ⁵⁵ p ɛ ²¹	
Xiamen		cabbage	774	774	ko⁵⁵le³⁵ʦʰaj²¹	328	k o ⁵⁵ l e ³⁵ tsʰ a j ²¹	
Hefei		cabbage	774	774	pu²¹tʰɯ⁵⁵ʦʰᴇ⁵³	276	p u ²¹ tʰ ɯ ⁵⁵ tsʰ ɛ ⁵³	
Jinan		cabbage	774	774	ʨɥã⁵⁵ɕjẽ²¹³ʦʰɛ²¹	353	tɕ ɥ ã ∼ ⁵⁵ ɕ j ẽ ∼ ²¹³ tsʰ ɛ ²¹	
Jinan		cabbage	774	774	jaŋ⁴²pej⁴²ʦʰɛ	355	j a ŋ ⁴² p e j ⁴² tsʰ ɛ	
Jinan		cabbage	774	774	ɥã⁴²pej⁴²ʦʰɛ²¹	356	ɥ ã ∼ ⁴² p e j ⁴² tsʰ ɛ ²¹	
Hangzhou		cabbage	774	774	pɔ³³ɕin³³ʦʰᴇ⁴⁴⁵	275	p ɔ ³³ ɕ i n ³³ tsʰ ɛ ⁴⁴⁵	
Guangzhou		cabbage	774	774	jɛ²¹ʦʰɔj³³	357	j ɛ ²¹ tsʰ ɔ j ³³	
Nanchang		cabbage	774	774	pɑw⁴²ʦʰaj⁰²	274	p ɑ w ⁴² tsʰ a j ⁰²	
Chengdu		cabbage	774	774	ʨɥan⁵³ɕin⁵⁵pe³¹	354	tɕ ɥ a n ⁵³ ɕ i n ⁵⁵ p e ³¹	
Chengdu		cabbage	774	774	njan³¹xwa⁵⁵pe³¹	358	n j a n ³¹ x w a ⁵⁵ p e ³¹	
Taoyuan		cabbage	774	774	xwej¹¹ʦəʔpaj¹¹	359	x w e j ¹¹ ts ə ʔ ⁰ p a j ¹¹	
Shexian		cabbage	774	774	kɛ³¹lɛ⁴⁴ʦʰɛ³²⁴	360	k ɛ ³¹ l ɛ ⁴⁴ tsʰ ɛ ³²⁴	
Beijing		cabbage	774	774	jɑŋ³⁵paj³⁵ʦʰaj⁵¹	355	j ɑ ŋ ³⁵ p a j ³⁵ tsʰ a j ⁵¹	
Kunming		cabbage	774	774	ljɛ̃³¹xwᴀ⁴⁴pə³¹	358	l j ɛ̃ ∼ ³¹ x w a ⁴⁴ p ə ³¹	
Shanghai		cabbage	774	774	ʨɥø³⁵ɕiŋ⁵³ʦʰe³⁵	353	tɕ ɥ ø ³⁵ ɕ i ŋ ⁵³ tsʰ e ³⁵	
Meixian		catch a cold	2184	2184	soŋ⁴⁴fuŋ⁴⁴	963	s o ŋ ⁴⁴ f u ŋ ⁴⁴	
Changsha		catch a cold	2184	2184	kan⁴¹maw⁵⁵	964	k a n ⁴¹ m a w ⁵⁵	
Changsha		catch a cold	2184	2184	ʂan³³xoŋ³³	963	ʂ a n ³³ x o ŋ ³³	
Guiyang		catch a cold	2184	2184	ljaŋ²¹ta⁴²	967	l j a ŋ ²¹ t a ⁴²	
Guiyang		catch a cold	2184	2184	kan⁴²ma²¹³	964	k a n ⁴² m a ²¹³	
Xiamen		catch a cold	2184	2184	kwã³⁵tjoʔ	970	k w ã ∼ ³⁵ t j o ʔ	
Xiamen		catch a cold	2184	2184	kam⁵³mɔ²²	964	k a m ⁵³ m ɔ ²²	
Hefei		catch a cold	2184	2184	ʂɑ̃²¹fəŋ²¹	963	ʂ ɑ̃ ∼ ²¹ f ə ŋ ²¹	
Hefei		catch a cold	2184	2184	kæ̃²⁴mɔ⁵³	964	k æ̃ ∼ ²⁴ m ɔ ⁵³	
Jinan		catch a cold	2184	2184	ʂow²¹ljaŋ⁴²	973	ʂ o w ²¹ l j a ŋ ⁴²	
Jinan		catch a cold	2184	2184	ljaŋ⁴²t͡ʂɔlja	968	l j a ŋ ⁴² ʈʂ ɔ ⁰ l j a	
Jinan		catch a cold	2184	2184	ʂaŋ²¹³fəŋ²¹³	963	ʂ a ŋ ²¹³ f ə ŋ ²¹³	
Jinan		catch a cold	2184	2184	kã⁵⁵mɔ²¹	964	k ã ∼ ⁵⁵ m ɔ ²¹	
Hangzhou		catch a cold	2184	2184	sɥɑŋ³³foŋ³³	963	s ɥ ɑ ŋ ³³ f o ŋ ³³	
